version,publishedtime,url,length of content,md5
version1.0,26/01/2020 0:09,https://www.cbc.ca/news/world/new-coronavirus-interactive-map-1.5438155,3464,BCC401E60FB821FC0D6DA0FB92821930
version1.0,04/02/2020 3:42,https://www.cbc.ca/news/world/china-coronavirus-wuhan-health-1.5449626,16035,47961C20446865602336A54ACBDE4B9A
version1.0,26/01/2020 23:48,https://www.cbc.ca/news/canada/toronto/toronto-healthcare-workers-coronavirus-1.5441065,14149,5984E3BE61AD5D3FF314B679F8C82397
version1.0,30/03/2020 9:49,https://www.cbc.ca/news/world/china-completes-new-hospital-for-coronavirus-cases-in-record-time-1.5449699,4073,A54BA12BF9977A55F15D2398929525A4
version1.0,05/02/2020 1:59,https://www.cbc.ca/news/world/who-sends-team-china-coronavirus-1.5451436,10811,589BE163163A9232A087F7E11962CEE4
version1.0,26/01/2020 20:55,https://www.cbc.ca/news/canada/toronto/canada-1st-case-coronavirus-toronto-1.5440760,15472,1D9441DE4A83B94B164B598F9260183C
version1.0,30/03/2020 9:49,https://www.cbc.ca/news/politics/repatriating-canadians-from-china-amid-coronavirus-outbreak-sunday-scrum-1.5449388,4195,8BA2F8AFDA67114509E5B3644F7F3796
version1.0,29/01/2020 3:26,https://www.cbc.ca/news/world/coronavirus-evacuate-china-wuhan-1.5442681,14801,4A68103C9F067A490C9299E97FA3354B
version1.0,28/01/2020 2:40,https://www.cbc.ca/news/canada/toronto/coronavirus-wuhan-ontario-second-case-1.5441401,12948,097E124442DCD67FF037DD3C23D6675C
version1.0,04/02/2020 16:51,https://www.cbc.ca/news/canada/ottawa/coronavirus-separation-1.5450788,11613,EE0D38DB00F6F3240215218C744692D4
version1.0,28/01/2020 9:15,https://www.cbc.ca/news/health/coronavirus-china-lunar-new-year-extended-1.5441383,12303,501AB0C5D64AE871DD5BD7D6A396D3C2
version1.0,30/03/2020 9:49,https://www.cbc.ca/news/world/what-we-actually-know-about-the-coronavirus-1.5449100,4203,BAF275A0272A78735B5B7C3E756F1EAC
version1.0,06/02/2020 3:40,https://www.cbc.ca/news/canada/canadians-coronavirus-cruise-ship-japan-1.5452345,8429,6EC33062757503CF7ED58035FC5AEED6
version1.0,30/03/2020 9:49,https://www.cbc.ca/news/thenational/coronavirus-outbreak-advice-and-misconceptions-1.5449767,4027,DDA2823659C896143B80ED932136FD9F
version1.0,27/01/2020 16:02,https://www.cbc.ca/news/canada/toronto/coronavirus-gta-question-and-answer-1.5441546,4841,29A8FA286257616AE8958AA945C7DF34
version1.0,07/02/2020 16:49,https://www.cbc.ca/news/politics/airlift-wuhan-canada-repatriation-1.5453969,10554,3DBA9ECB52B48B21CB21C85E69D7ACE3
version1.0,01/02/2020 9:00,https://www.cbc.ca/news/health/coronavirus-2019-ncov-science-virus-genome-who-research-collaboration-1.5446948,13846,6DBC9484743CB9940CE45EB85542ECCE
version1.0,31/01/2020 14:12,https://www.cbc.ca/sports/olympics/coronavirus-olympics-tokyo-1.5447159,7970,24605175A72522048F8033D3800A32F4
version1.0,28/01/2020 0:12,https://www.cbc.ca/news/health/coronavirus-contaminment-canada-1.5441216,11940,DBEC948A773EFA7070AF321E9AADD312
version1.0,27/01/2020 22:23,https://www.cbc.ca/news/politics/coronavirus-hajdu-travel-china-restrictions-health-1.5442123,8430,CF97933669851197DDF233C9B9ABFDBC
version1.0,05/02/2020 21:03,https://www.cbc.ca/sports/olympics/coronavirus-tokyo-olympics-coc-1.5453175,8345,CDAC84D8F8BAE4A2910EB7765A58B150
version1.0,27/01/2020 21:20,https://www.cbc.ca/news/business/coronavirus-stock-markets-monday-1.5441587,6503,BCC820DB7323B4736D652605DC1FAE1E
version1.0,21/01/2020 20:46,https://www.cbc.ca/radio/thecurrent/the-current-for-jan-21-2020-1.5434328/lessons-learned-in-sars-outbreak-will-help-global-response-to-coronavirus-say-infectious-diseases-specialists-1.5434329,7462,BA9DCE5B8D07FEA24F91DF9222B6D93C
